State,Year,Quarter,District,Count,Amount
punjab,2023,1,bathinda district,545,1283520.0
punjab,2023,1,kapurthala district,294,587248.0
punjab,2023,1,firozepur district,187,387819.0
punjab,2023,1,gurdaspur district,353,885643.0
punjab,2023,1,amritsar district,917,1865322.0
punjab,2023,1,faridkot district,151,316494.0
punjab,2023,1,hoshiarpur district,500,1328429.0
punjab,2023,1,moga district,194,534208.0
punjab,2023,2,shahid bhagat singh nagar district,102,216603.0
punjab,2023,2,fazilka district,273,701626.0
punjab,2023,2,barnala district,100,241128.0
punjab,2023,2,mansa district,137,337378.0
punjab,2023,2,ludhiana district,2136,3486226.0
punjab,2023,2,sri muktsar sahib district,123,297738.0
punjab,2023,2,patiala district,779,1745760.0
punjab,2023,2,pathankot district,590,1144908.0
punjab,2023,2,fatehgarh sahib district,227,534173.0
punjab,2023,2,rupnagar district,265,614376.0
punjab,2023,2,tarn taran district,259,739004.0
punjab,2023,2,sas nagar district,2606,4613121.0
punjab,2023,2,sangrur district,327,798822.0
punjab,2023,2,jalandhar district,1263,1937881.0
punjab,2023,2,bathinda district,610,1147800.0
punjab,2023,2,kapurthala district,327,668704.0
punjab,2023,2,firozepur district,266,597500.0
punjab,2023,2,gurdaspur district,373,834823.0
punjab,2023,2,amritsar district,1606,2519911.0
punjab,2023,2,faridkot district,137,251682.0
punjab,2023,2,hoshiarpur district,561,1263496.0
punjab,2023,2,moga district,120,305515.0
punjab,2023,4,shahid bhagat singh nagar district,107,258431.0
punjab,2023,4,fazilka district,275,761697.0
punjab,2023,4,barnala district,92,225787.0
punjab,2023,4,mansa district,124,335188.0
punjab,2023,4,ludhiana district,2308,4051850.0
punjab,2023,4,sri muktsar sahib district,133,361455.0
punjab,2023,4,patiala district,807,1673018.0
punjab,2023,4,pathankot district,575,1183980.0
punjab,2023,4,fatehgarh sahib district,206,360389.0
punjab,2023,4,rupnagar district,329,908180.0
punjab,2023,4,tarn taran district,240,692292.0
punjab,2023,4,sas nagar district,2981,5886008.0
punjab,2023,4,sangrur district,291,788128.0
punjab,2023,4,jalandhar district,1053,2203746.0
punjab,2023,4,bathinda district,1139,1993422.0
punjab,2023,4,kapurthala district,316,623260.0
punjab,2023,4,firozepur district,274,594646.0
punjab,2023,4,gurdaspur district,386,1044061.0
punjab,2023,4,amritsar district,1111,2357920.0
punjab,2023,4,faridkot district,164,316615.0
punjab,2023,4,hoshiarpur district,666,1625737.0
punjab,2023,4,moga district,200,470018.0
punjab,2023,3,shahid bhagat singh nagar district,106,246905.0
punjab,2023,3,fazilka district,301,797585.0
punjab,2023,3,barnala district,105,253820.0
punjab,2023,3,mansa district,105,269876.0
punjab,2023,3,ludhiana district,2423,3264425.0
punjab,2023,3,sri muktsar sahib district,136,367153.0
punjab,2023,3,patiala district,792,1465777.0
punjab,2023,3,pathankot district,702,1191858.0
punjab,2023,3,fatehgarh sahib district,182,385575.0
punjab,2023,3,rupnagar district,320,605979.0
punjab,2023,3,tarn taran district,275,713622.0
punjab,2023,3,sas nagar district,2820,4641417.0
punjab,2023,3,sangrur district,256,571794.0
punjab,2023,3,jalandhar district,1329,1743153.0
punjab,2023,3,bathinda district,691,1369476.0
punjab,2023,3,kapurthala district,352,621960.0
punjab,2023,3,firozepur district,270,639042.0
punjab,2023,3,gurdaspur district,405,899868.0
punjab,2023,3,amritsar district,1381,2262878.0
punjab,2023,3,faridkot district,190,300356.0
punjab,2023,3,hoshiarpur district,730,1422580.0
punjab,2023,3,moga district,177,426389.0
uttarakhand,2020,2,bageshwar district,6,1448.0
uttarakhand,2020,2,udham singh nagar district,68,15728.0
uttarakhand,2020,2,haridwar district,110,21708.0
uttarakhand,2020,2,champawat district,5,1129.0
uttarakhand,2020,2,nainital district,63,13166.0
uttarakhand,2020,2,dehradun district,313,59251.0
uttarakhand,2020,2,chamoli district,9,1905.0
uttarakhand,2020,2,almora district,20,4261.0
uttarakhand,2020,2,uttarkashi district,20,3974.0
uttarakhand,2020,2,pithoragarh district,17,5076.0
uttarakhand,2020,2,rudraprayag district,6,1453.0
uttarakhand,2020,2,pauri garhwal district,10,2187.0
uttarakhand,2020,2,tehri garhwal district,13,3613.0
uttarakhand,2020,4,bageshwar district,26,26551.0
uttarakhand,2020,4,udham singh nagar district,294,261230.0
uttarakhand,2020,4,haridwar district,337,341470.0
uttarakhand,2020,4,champawat district,28,73616.0
uttarakhand,2020,4,nainital district,169,206547.0
uttarakhand,2020,4,dehradun district,577,620548.0
uttarakhand,2020,4,chamoli district,35,56928.0
uttarakhand,2020,4,almora district,46,65453.0
uttarakhand,2020,4,uttarkashi district,44,44541.0
uttarakhand,2020,4,pithoragarh district,42,60841.0
uttarakhand,2020,4,rudraprayag district,17,18605.0
uttarakhand,2020,4,pauri garhwal district,79,95558.0
uttarakhand,2020,4,tehri garhwal district,62,90003.0
uttarakhand,2020,3,bageshwar district,10,3935.0
uttarakhand,2020,3,udham singh nagar district,294,70995.0
uttarakhand,2020,3,haridwar district,305,79746.0
uttarakhand,2020,3,champawat district,9,4259.0
uttarakhand,2020,3,nainital district,102,28588.0
uttarakhand,2020,3,dehradun district,482,166568.0
uttarakhand,2020,3,chamoli district,16,5235.0
